,유치원 원아수,초등학교 학생수,토지거래면적,혼인건수,노인 천명당 노인여가복지시설수,1인가구비율,등록외국인 현황,유아 천명당 보육시설수,지가변동률,출생아수,학급당 학생수,독거노인가구비율,유치원수,인구 십만명당 문화기반시설수,인구 천명당 사설학원수,주택수,초등학교수,평균연령
대구 남구,1433,4417,554.6914135,581.2364165,1.53,41.46291995,1391.126504,12.6775197,4.234539612,469.922439,22.51,10.8258399,16,2.698875985,0.811124015,42470.40274,11,47.06291995
대구 달서구,8828,31654,2404.364578,2159.608462,2.428204065,27.86291995,9113.56035,14.44043965,5.079641226,2292.316467,23.74,7.06291995,78,2.145729988,1.798875985,181625.3389,55,41.8
대구 달성군,6062,16083,8145.549959,1844.265035,6.908540025,24.54043965,6033.001245,10.7483202,4.055271257,3107.009125,22.16,5.41124015,47,2.10191207,1.52674409,100761.9245,32,39.08540025
대구 동구,5143,17437,2447.823309,1573.047699,2.353372045,29.9775197,1933.786811,13.2033596,5.580690169,1883.720863,21.73,9.48875985,58,2.873145998,1.12,125207.4222,32,44.26291995
대구 북구,7257,22719,3216.53546,1918.684778,3.058204065,28.8258399,5225.397761,13.61124015,4.41003152,2349.172958,22.58,6.7,73,3.252357943,1.33258399,144995.3874,38,41.3
대구 서구,1164,5879,542.124015,654.036085,1.78966404,32.5258399,2382.979262,20.7291995,5.567660307,437.281626,21.24,10.76291995,23,3.38875985,0.853708005,54239.41601,17,47.16291995
대구 수성구,5499,23583,2452.460801,1174.66404,2.738540025,23.6741601,1675.642058,12.78540025,8.48502945,1350.32808,24.53,7.2741601,49,2.736518043,2.33,134663.2169,34,42.5
대구 중구,799,4350,366.6524265,385.4068855,2.573708005,40.2224803,835.3604315,9.5224803,5.95853339,457.113646,23.31,9.5,12,14.10089797,3.998540025,26781.8341,10,44.1775197
